         3032499 function calls (3027683 primitive calls) in 2.600 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       14    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:273(getuntil)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       26    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_compiler.py:214(_compile_charset)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1548(find_spec)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/pkgutil.py:1(<module>)
        7    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_compiler.py:389(_mk_bitmap)
       25    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:85(opengroup)
        7    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/functools.py:36(update_wrapper)
       22    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1187(_ip_int_from_string)
      216    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:3121(parameters)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      162    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       84    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen importlib.util>:1(<module>)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1235(_cache_bytecode)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/sysconfig/__init__.py:269(_expand_vars)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.13/ipaddress.py:1(<module>)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      110    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       21    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1161(_make_netmask)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/loguru/_datetime.py:143(aware_now)
       18    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       26    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:474(_prefix_from_prefix_string)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/loguru/_handler.py:127(emit)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1484(_path_hooks)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.000    0.000    0.188    0.188 /app/.venv/lib/python3.13/site-packages/pyarrow/parquet/core.py:1884(read_table)
        1    0.000    0.000    0.001    0.001 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:118(NumpyDocString)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       39    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_compiler.py:401(_simple)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/enum.py:1609(__and__)
        1    0.000    0.000    0.079    0.079 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:1(<module>)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:2392(_IPv6Constants)
       30    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       66    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      114    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
     10/3    0.000    0.000    0.008    0.003 <frozen importlib._bootstrap_external>:1323(exec_module)
      129    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       66    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:82(groups)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1595(__init__)
       60    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1672(_fill_cache)
       30    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       35    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1904(_split_scope_id)
       67    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       13    0.000    0.000    0.079    0.006 <frozen importlib._bootstrap_external>:1082(source_to_code)
       25    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:97(closegroup)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/loguru/_logger.py:2072(debug)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1579(_IPv4Constants)
       22    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
